Name_and_model,Model_type,In_Game_Price,car_source,stock_specs,Stock_Rating,Drive_Type,speed,handling,acceleration,launch,braking,Offroad,Top_Speed,0-60_Mph,0-100_Mph,g-force,Horse_Power,Weight_lbs
2015 Ferrari F12tdf,SUPER GT,500000.0,Autoshow,S1,884.0,RWD,8.8,7.6,6.5,7.0,8.4,4.8,,4.1,,,769,3351.0
2017 Ferrari 812 Superfast,SUPER GT,350000.0,Autoshow,S1,878.0,RWD,7.9,7.5,6.2,6.6,7.6,4.0,,4.1,,,788,3594.0
2017 Ferrari GTC4Lusso,SUPER GT,300000.0,Wheelspin,S1,816.0,AWD,7.5,6.8,6.9,6.7,6.6,5.1,,4.1,,,680,4233.0
2017 Ferrari J50,MODERN SUPERCARS,2500000.0,Autoshow,S1,857.0,RWD,8.4,7.5,6.8,7.4,7.3,4.3,233.3,2.8,5.6,1.13,681,3362.0
2018 Ferrari FXX-K Evo,EXTREME TRACK TOYS,0.0,Autoshow,S2,998.0,RWD,8.1,10.0,8.3,9.1,10.0,4.0,,4.1,,,"1,036",2800.0
2018 Ferrari Portofino,SUPER GT,215000.0,Autoshow,S1,814.0,RWD,7.8,6.5,6.3,6.8,6.8,4.7,,4.1,,,591,3669.0
2019 Ferrari 488 Pista,TRACK TOYS,320000.0,Autoshow,S1,889.0,RWD,7.6,8.2,7.0,7.6,8.4,4.2,210.5,2.3,4.9,1.27,711,3053.0
2019 Ferrari Monza SP2,SUPER GT,2000000.0,Autoshow,S1,867.0,RWD,8.6,7.3,6.1,6.6,7.1,3.7,237.3,3.0,5.5,1.13,799,3503.0
1932 Ford De Luxe Five-Window Coupe,RODS AND CUSTOMS,35000.0,Autoshow,D,126.0,RWD,3.2,3.9,1.9,2.8,1.8,4.8,,4.1,,,65,2398.0
1932 Ford De Luxe Five-Window Coupe Forza Edition,UNLIMITED BUGGIES,0.0,Other,A,800.0,,6.6,2.9,5.8,6.3,5.8,8.8,,4.1,,,603,2094.0
1940 Ford De Luxe Coupe,RODS AND CUSTOMS,44000.0,Autoshow,D,130.0,RWD,3.2,3.6,2.1,2.2,1.8,6.1,,4.1,,,85,2970.0
1956 Ford F-100,RODS AND CUSTOMS,36000.0,Barn,D,302.0,RWD,3.8,2.7,3.1,3.0,2.1,6.9,106.0,14.9,40.0,0.71,173,3325.0
1959 Ford Anglia 105E,CULT CARS,20000.0,Autoshow,D,100.0,RWD,2.6,4.1,1.6,2.6,2.0,6.1,,4.1,,,39,1676.0
1964 Ford GT40 Mk I,CLASSIC RACERS,11000000.0,Car Collection,A,754.0,RWD,6.9,5.2,4.6,3.7,4.0,4.8,,4.1,,,390,2222.0
1965 Ford Mustang GT Coupe,CLASSIC MUSCLE,46000.0,Autoshow,D,499.0,RWD,5.1,3.6,3.3,3.2,2.3,5.4,,4.1,,,271,2562.0
1965 Ford Transit,VANS AND UTILITY,25000.0,Autoshow,D,100.0,RWD,2.5,4.2,1.3,1.8,1.8,6.3,,4.1,,,73,3527.0
1966 Ford #2 GT40 Mk II,CLASSIC RACERS,11000000.0,Autoshow,A,771.0,RWD,7.5,5.0,4.3,3.5,3.8,4.7,,4.1,,,485,2682.0
1966 Ford Lotus Cortina,CLASSIC RACERS,50000.0,Autoshow,D,389.0,RWD,4.0,3.9,3.5,2.6,2.3,5.3,,4.1,,,115,2060.0
1967 Ford Racing Escort MK1,CLASSIC RALLY,500000.0,Barn,B,636.0,RWD,4.5,4.8,4.6,3.5,4.1,7.3,,4.1,,,200,2116.0
1968 Ford Mustang GT 2+2 Fastback,CLASSIC MUSCLE,50000.0,Barn,D,498.0,RWD,5.7,3.9,3.4,3.3,2.3,5.5,,4.1,,,325,3548.0
1969 Ford Mustang Boss 302,CLASSIC MUSCLE,230000.0,Autoshow,C,581.0,RWD,5.5,4.4,3.2,2.3,3.0,5.8,,4.1,,,290,3250.0
1970 Ford GT70,CLASSIC RALLY,150000.0,Autoshow,B,671.0,RWD,5.1,5.5,4.2,3.1,3.4,7.3,,4.1,,,200,1680.0
1971 Ford Mustang Mach 1 1971,CLASSIC MUSCLE,250000.0,This info will be available soon,C,546.0,RWD,4.8,3.8,3.4,3.2,2.5,5.2,,4.1,,,376,3710.0
1972 Ford Falcon XA GT-HO,CLASSIC MUSCLE,80000.0,Autoshow,B,624.0,RWD,6.3,4.2,4.0,3.3,2.9,5.4,,4.1,,,410,3461.0
1973 Ford Capri RS3100,CLASSIC SPORTS CARS,55000.0,Autoshow,D,497.0,RWD,4.8,4.1,3.8,3.3,2.5,5.2,130.5,7.3,20.8,0.81,148,2315.0
1973 Ford Escort RS1600,CLASSIC RALLY,73000.0,Autoshow,D,476.0,RWD,4.2,4.1,3.7,2.7,2.9,5.9,,4.1,,,113,1918.0
1975 Ford Bronco,PICK-UP & 4X4'S,38000.0,Autoshow,D,421.0,AWD,4.3,3.0,3.5,2.8,2.1,8.0,,4.1,,,205,3545.0
1977 Ford #5 Escort RS1800 MkII,CLASSIC RALLY,300000.0,Autoshow,B,662.0,RWD,4.4,4.5,5.0,5.3,3.8,7.0,,4.1,,,255,2161.0
1977 Ford Escort RS1800,CLASSIC RALLY,88000.0,Autoshow,D,477.0,RWD,4.2,4.2,3.6,3.0,2.8,6.0,,4.1,,,115,1986.0
1981 Ford Fiesta XR2,RETRO HOT HATCH,25000.0,Wheelspin,D,369.0,FWD,3.8,4.4,3.1,2.4,2.5,5.1,,4.1,,,84,1852.0
1985 Ford RS200 Evolution,RALLY MONSTERS,260000.0,Autoshow,S1,808.0,AWD,5.4,5.7,6.9,2.3,5.0,7.8,,4.1,,,506,2464.0
1986 Ford Escort RS Turbo,RETRO HOT HATCH,25000.0,Autoshow,C,516.0,FWD,4.5,4.2,3.8,3.7,2.8,4.9,,4.1,,,130,2154.0
1987 Ford Sierra Cosworth RS500,RETRO SALOONS,66000.0,Autoshow,B,604.0,RWD,5.6,4.8,4.3,3.3,3.4,4.8,,4.1,,,224,2734.0
1992 Ford Escort RS Cosworth,RETRO RALLY,66000.0,Autoshow,C,565.0,AWD,5.2,4.8,4.3,2.8,3.1,5.2,142.9,6.2,17.4,0.89,224,2811.0
1993 Ford SVT Cobra R,RETRO MUSCLE,28000.0,Autoshow,C,539.0,RWD,5.3,4.5,3.7,2.9,2.9,4.7,,4.1,,,235,3125.0
1994 Ford Supervan 3,TRACK TOYS,500000.0,Autoshow,S1,820.0,RWD,5.2,8.0,7.4,5.5,7.9,4.6,,4.1,,,295,1962.0
1999 Ford Racing Puma,RETRO RALLY,20000.0,Autoshow,C,514.0,FWD,4.9,4.6,3.5,2.7,3.3,5.0,,4.1,,,153,2588.0
1999 Ford Racing Puma Forza Edition,RALLY MONSTERS,500000.0,Other,S1,900.0,AWD,5.7,6.3,9.4,6.0,5.8,8.0,,4.1,,,506,2194.0
2000 Ford SVT Cobra R,RETRO MUSCLE,55000.0,Autoshow,B,648.0,RWD,6.7,5.0,4.0,4.0,3.4,4.5,,4.1,,,385,3589.0
2003 Ford Focus RS,HOT HATCH,30000.0,Autoshow,C,593.0,FWD,5.1,5.1,4.1,3.6,3.5,4.6,,4.1,,,212,2822.0
2005 Ford GT,RETRO SUPERCARS,300000.0,Wheelspin,A,786.0,RWD,7.7,6.6,4.7,3.3,5.3,5.1,,4.1,,,550,3390.0
2009 Ford Focus RS,SUPER HOT HATCH,25000.0,Autoshow,B,660.0,FWD,5.6,5.5,4.4,4.5,3.9,4.7,,4.1,,,300,3236.0
2010 Ford Crown Victoria Police Interceptor,RETRO MUSCLE,25000.0,Autoshow,D,462.0,RWD,5.2,4.1,3.1,1.9,2.5,5.6,,4.1,,,250,4057.0
2011 Ford F-150 SVT Raptor,PICK-UP & 4X4'S,42000.0,Autoshow,C,518.0,AWD,5.3,3.3,4.1,3.1,2.8,8.6,,4.1,,,411,6006.0
2011 Ford Transit SuperSportVan,VANS AND UTILITY,50000.0,Autoshow,D,347.0,RWD,4.5,4.0,2.7,3.1,2.3,5.4,,4.1,,,198,4493.0
2013 Ford Shelby GT500,MODERN MUSCLE,115000.0,Autoshow,A,756.0,RWD,7.4,5.2,4.7,4.6,4.3,4.9,,4.1,,,662,3898.0
2014 Ford #11 Rockstar F-150 Trophy Truck,UNLIMITED OFFROAD,500000.0,Autoshow,A,731.0,RWD,5.6,3.3,4.6,4.5,4.8,9.1,,4.1,,,850,6250.0
2014 Ford Ranger T6 Rally Raid,OFFROAD,250000.0,Autoshow,B,643.0,AWD,4.4,4.8,5.4,7.8,4.0,8.4,0.0,5.5,15.4,0.85,349,4354.0
2017 Ford #14 Rahal Letterman Lanigan Racing GRC Fiesta,RALLY MONSTERS,500000.0,Wheelspin,S1,860.0,AWD,5.0,5.6,9.2,10.0,5.9,7.6,0.0,2.8,5.9,1.17,600,2746.0
2017 Ford #25 'Brocky' Ultra4 Bronco RTR,UNLIMITED OFFROAD,500000.0,Autoshow,A,748.0,AWD,4.7,4.1,6.1,5.2,5.2,10.0,,4.1,,,600,4500.0
2017 Ford Focus RS,SUPER HOT HATCH,59000.0,Autoshow,A,702.0,AWD,6.2,6.0,5.8,3.7,4.2,5.5,,4.1,,,350,3446.0
2017 Ford GT,MODERN SUPERCARS,400000.0,Autoshow,S1,863.0,RWD,8.3,7.1,6.6,3.6,8.5,4.4,,4.1,,,630,3353.0
2017 Ford M-Sport Fiesta RS,RALLY MONSTERS,500000.0,Autoshow,S1,808.0,AWD,5.1,6.1,8.7,9.7,6.1,8.5,,4.1,,,375,2800.0
2018 Ford #25 Mustang RTR,DRIFT CARS,500000.0,Autoshow,S1,834.0,RWD,5.9,5.3,5.2,5.5,4.7,4.0,,4.1,,,"1,000",3100.0
2018 Ford #88 Mustang RTR,DRIFT CARS,500000.0,Autoshow,S1,834.0,RWD,5.9,5.3,5.2,5.5,4.7,4.1,,4.1,,,"1,000",3100.0
2019 Ford Ranger Raptor,PICK-UP & 4X4'S,58000.0,Wheelspin,D,451.0,AWD,4.5,3.3,2.7,4.9,3.1,8.6,,4.1,,,211,5141.0
2020 Ford #2069 Ford Performance Bronco R,OFFROAD,250000.0,Autoshow,C,544.0,AWD,4.2,4.1,3.2,5.2,4.8,10.0,,4.1,,,325,4475.0
1989 Formula Drift #98 BMW 325i,DRIFT CARS,300000.0,Autoshow,S1,813.0,RWD,6.9,5.1,5.0,5.2,4.2,4.1,,4.1,,,750,2800.0
1995 Formula Drift #34 Toyota Supra MKIV,DRIFT CARS,0.0,Autoshow,S1,845.0,RWD,7.7,5.6,5.2,3.7,5.6,4.2,,4.1,,,"1,035",2849.0
1997 Formula Drift #777 Nissan 240SX,DRIFT CARS,300000.0,Autoshow,S1,826.0,RWD,6.7,5.3,5.2,5.5,4.4,4.0,181.3,4.6,7.9,1.04,"1,251",3100.0
2006 Formula Drift #43 Dodge Viper SRT10,DRIFT CARS,300000.0,Autoshow,S1,826.0,RWD,7.3,5.4,5.3,5.6,4.9,3.7,,4.1,,,"1,350",2900.0
2007 Formula Drift #117 599 GTB Fiorano,DRIFT CARS,500000.0,Autoshow,S1,852.0,RWD,6.8,5.3,5.7,6.1,4.7,4.4,,4.1,,,917,3200.0
2009 Formula Drift #99 Mazda RX-8,DRIFT CARS,0.0,Autoshow,S1,829.0,RWD,6.7,5.4,4.7,3.2,4.5,4.0,,4.1,,,"1,000",2824.0
2013 Formula Drift #777 Chevrolet Corvette,DRIFT CARS,300000.0,Autoshow,S1,848.0,RWD,6.4,5.5,5.1,5.4,4.8,3.6,,4.1,,,"1,050",3000.0
2015 Formula Drift #13 Ford Mustang,DRIFT CARS,300000.0,Autoshow,S1,825.0,RWD,5.8,5.4,5.1,5.4,4.7,4.1,,4.1,,,986,3100.0
2016 Formula Drift #530 HSV Maloo GEN-F,DRIFT CARS,300000.0,Autoshow,S1,808.0,RWD,7.6,5.3,4.6,4.8,4.3,4.1,,4.1,,,"1,000",2899.0
2017 Formula Drift #357 Chevrolet Corvette,DRIFT CARS,0.0,Autoshow,S1,835.0,RWD,8.9,5.5,5.1,5.4,4.9,4.4,,4.1,,,825,2939.0
2018 Formula Drift #64 Nissan 370Z,DRIFT CARS,300000.0,Autoshow,S1,843.0,RWD,7.3,5.4,5.2,5.5,4.4,4.0,,4.1,,,"1,015",2866.0
2019 Formula Drift #411 Toyota Corolla Hatchback,DRIFT CARS,0.0,Autoshow,S1,840.0,RWD,7.0,5.2,5.0,5.2,5.5,4.2,,4.1,,,"1,185",3156.0
2020 Formula Drift #151 Toyota GR Supra,DRIFT CARS,0.0,Autoshow,S1,863.0,RWD,6.2,5.3,5.5,3.6,5.6,4.1,,4.1,,,"1,033",3156.0
2020 Formula Drift #91 BMW M2,DRIFT CARS,0.0,Autoshow,S1,839.0,RWD,6.7,5.3,5.2,5.6,5.0,3.9,,4.1,,,822,2849.0
2018 Funco Motorsports F9,UNLIMITED BUGGIES,500000.0,Wheelspin,S1,821.0,RWD,5.2,2.9,7.6,8.5,5.1,8.8,139.2,3.5,5.7,0.93,"1,750",2800.0
1984 Honda Civic CRX Mugen,RETRO HOT HATCH,40000.0,Season Event,D,499.0,FWD,4.8,4.7,3.0,1.8,2.6,4.6,,4.1,,,120,1819.0
1992 Honda NSX-R,RETRO SPORTS CARS,90000.0,Autoshow,B,691.0,RWD,6.2,6.1,4.9,3.8,4.3,4.6,,4.1,,,276,2712.0
1997 Honda Civic Type R,RETRO HOT HATCH,25000.0,Autoshow,C,553.0,FWD,5.5,4.8,3.7,3.0,3.0,4.7,,4.1,,,182,2403.0
2003 Honda S2000,MODERN SPORTS CARS,25000.0,Autoshow,B,630.0,RWD,6.0,5.4,4.2,3.7,3.3,5.0,,4.1,,,247,2756.0
2004 Honda Civic Type R,RETRO HOT HATCH,25000.0,Autoshow,C,600.0,FWD,5.4,5.0,4.1,3.7,3.5,5.1,,4.1,,,212,2624.0
2005 Honda NSX-R,RETRO SPORTS CARS,150000.0,Autoshow,B,691.0,RWD,6.4,5.8,5.0,3.8,4.7,4.9,,4.1,,,290,2800.0
2005 Honda NSX-R GT,RETRO SPORTS CARS,500000.0,Season Event,A,725.0,RWD,6.4,6.7,5.6,4.4,5.6,4.5,,4.1,,,276,2800.0
2007 Honda Civic Type R,HOT HATCH,20000.0,Autoshow,C,574.0,FWD,5.3,5.4,4.0,3.2,3.7,5.2,,4.1,,,198,2965.0
2009 Honda S2000 CR,MODERN SPORTS CARS,25000.0,Autoshow,B,635.0,RWD,5.7,5.7,4.6,3.7,3.7,5.0,,4.1,,,237,2813.0
2016 Honda Civic Coupe,RALLY MONSTERS,155000.0,Season Event,S1,861.0,AWD,5.0,5.6,9.2,8.4,5.8,7.3,,4.1,,,600,2746.0
2016 Honda Civic Type R,SUPER HOT HATCH,38000.0,Autoshow,B,699.0,FWD,6.5,6.0,4.7,4.8,4.3,4.6,,4.1,,,306,3047.0
2018 Honda Civic Type R,SUPER HOT HATCH,59000.0,Autoshow,A,727.0,FWD,6.8,6.0,4.6,4.8,4.6,4.6,,4.1,,,306,3117.0
1955 Hoonigan Chevrolet Bel Air,RODS AND CUSTOMS,76000.0,Autoshow,B,621.0,RWD,5.7,3.8,4.1,3.1,3.0,6.4,157.8,6.2,13.1,0.82,410,3244.0
"1965 Hoonigan Ford ""Hoonicorn"" Mustang",DRIFT CARS,500000.0,Autoshow,S2,951.0,AWD,9.2,6.7,10.0,7.4,5.9,5.5,,4.1,,,"1,400",2998.0
1965 Hoonigan GYMKHANA 10 Ford Hoonicorn Mustang,DRIFT CARS,500000.0,Season Event,S2,952.0,AWD,8.8,6.6,10.0,7.7,5.9,5.4,,4.1,,,"1,400",2998.0
1972 Hoonigan Chevrolet Napalm Nova,CLASSIC MUSCLE,50000.0,Autoshow,A,731.0,RWD,6.7,5.2,5.0,5.3,4.7,5.0,185.4,4.1,9.7,0.95,475,3566.0
"1977 Hoonigan GYMKHANA 10 Ford F-150 ""Hoonitruck""",DRIFT CARS,500000.0,Autoshow,S1,896.0,AWD,6.2,6.5,7.9,8.7,6.7,5.7,,4.1,,,914,3210.0
1978 Hoonigan Ford Escort RS1800,RALLY MONSTERS,300000.0,Autoshow,S1,820.0,RWD,6.2,6.7,5.7,6.1,6.3,4.2,171.5,4.3,10.1,1.15,333,1846.0
1986 Hoonigan Ford RS200 Evolution,RALLY MONSTERS,500000.0,Autoshow,S2,904.0,AWD,7.6,6.5,9.5,5.1,5.3,8.3,0.0,2.6,4.9,1.22,750,2494.0
1991 Hoonigan GYMKHANA 10 Ford Escort Cosworth Group A,RALLY MONSTERS,500000.0,Autoshow,S1,862.0,AWD,7.8,6.2,9.1,8.7,5.3,7.6,213.8,2.5,5.2,1.14,620,2690.0
1991 Hoonigan Rauh-Welt Begriff Porsche 911 Turbo,RETRO SUPERCARS,160000.0,Mastery Tree,S1,811.0,RWD,6.7,7.7,7.2,4.1,5.3,4.0,187.3,4.1,9.8,1.23,385,2976.0
1992 Hoonigan Mazda RX-7 Twerkstallion,DRIFT CARS,50000.0,Mastery Tree,A,799.0,RWD,8.3,5.8,4.6,4.7,4.5,3.8,,4.1,,,600,2866.0
1994 Hoonigan Ford Escort RS Cosworth WRC “Cossie V2”,RALLY MONSTERS,500000.0,Autoshow,A,783.0,AWD,5.5,6.1,7.7,4.0,5.9,7.4,153.2,3.1,7.7,1.1,371,2822.0
2016 Hoonigan GYMKHANA 10 Ford Focus RS RX,RALLY MONSTERS,500000.0,Wheelspin,S1,862.0,AWD,5.1,5.7,9.2,10.0,6.4,7.2,142.6,1.9,5.0,1.18,620,2690.0
1969 Hot Wheels Twin Mill,RODS AND CUSTOMS,110000.0,Wheelspin,A,798.0,RWD,8.6,5.2,4.9,5.2,4.5,3.8,,4.1,,,"1,401",4696.0
2011 Hot Wheels Bone Shaker,RODS AND CUSTOMS,150000.0,Autoshow,A,790.0,RWD,6.0,5.2,5.7,6.2,4.9,4.2,165.8,4.0,9.0,1.11,402,2205.0
2014 HSV GEN-F GTS,MODERN MUSCLE,75000.0,Autoshow,A,721.0,RWD,7.0,5.5,4.8,4.0,4.5,4.8,,4.1,,,577,4147.0
2014 HSV Limited Edition GEN-F GTS Maloo,VANS AND UTILITY,62000.0,Autoshow,A,742.0,RWD,6.5,5.5,4.8,4.6,4.8,4.4,,4.1,,,577,4034.0
2006 HUMMER H1 Alpha,PICK-UP & 4X4'S,112000.0,Autoshow,D,354.0,AWD,4.2,2.9,2.0,2.5,2.4,8.6,,4.1,,,300,8114.0
2019 Hyundai Veloster N,SUPER HOT HATCH,30000.0,Wheelspin,B,645.0,FWD,6.0,5.4,4.5,4.7,3.7,5.0,,4.1,,,275,3106.0
2015 Infiniti Q60 Concept,SUPER SALOONS,50000.0,Autoshow,A,735.0,RWD,6.8,5.6,4.8,5.0,4.7,4.6,,4.1,,,400,3650.0
1970 International Scout 800A,PICK-UP & 4X4'S,40000.0,Autoshow,D,384.0,AWD,4.1,3.0,2.7,3.6,2.1,7.8,116.0,15.3,37.8,0.75,193,3615.0
2018 ItalDesign ZeroUno,HYPERCARS,2400000.0,Season Event,S1,869.0,AWD,7.6,7.7,9.2,8.9,8.0,4.9,210.9,2.8,6.2,1.24,602,3362.0
1956 Jaguar D-Type,CLASSIC RACERS,22000000.0,Autoshow,B,630.0,RWD,5.6,3.8,3.8,2.6,2.8,4.4,,4.1,,,245,2100.0
1959 Jaguar Mk II 3.8,CLASSIC RACERS,80000.0,Autoshow,D,448.0,RWD,4.6,4.1,3.5,2.8,2.8,5.5,,4.1,,,220,3360.0
1961 Jaguar E-type,RARE CLASSICS,150000.0,Autoshow,C,525.0,RWD,5.2,4.2,4.0,2.8,2.7,5.2,144.3,7.4,19.0,0.79,265,2900.0
1964 Jaguar Lightweight E-Type,CLASSIC RACERS,7500000.0,Autoshow,B,688.0,RWD,6.3,4.4,4.7,4.4,3.4,4.6,,4.1,,,340,2292.0
1966 Jaguar XJ13,CLASSIC RACERS,0.0,Autoshow,A,779.0,RWD,7.6,4.9,5.1,4.4,4.0,4.2,,4.1,,,502,2557.0
1991 Jaguar Sport XJR-15,RETRO SUPERCARS,500000.0,Barn,S1,828.0,RWD,7.5,8.0,6.0,6.3,6.8,4.7,,4.1,,,450,2315.0
1993 Jaguar XJ220,RETRO SUPERCARS,350000.0,Wheelspin,A,786.0,RWD,7.7,6.4,5.2,2.2,5.2,4.8,,4.1,,,542,3241.0
1993 Jaguar XJ220S TWR,RETRO SUPERCARS,0.0,Autoshow,S1,848.0,RWD,8.2,6.8,6.4,2.7,6.0,4.6,,4.1,,,680,2379.0
2010 Jaguar C-X75,MODERN SUPERCARS,1500000.0,Autoshow,S1,880.0,AWD,8.1,7.8,9.4,10.0,8.0,4.1,,4.1,,,890,3750.0
2012 Jaguar XKR-S,GT CARS,100000.0,Autoshow,A,756.0,RWD,7.5,6.1,4.9,5.1,4.3,4.4,,4.1,,,542,3865.0
2015 Jaguar F-Type R Coupé,GT CARS,110000.0,Wheelspin,A,777.0,RWD,7.5,5.9,5.2,5.4,6.0,4.2,,4.1,,,550,3638.0
2015 Jaguar XE-S,SUPER SALOONS,57000.0,Autoshow,B,671.0,RWD,6.8,5.5,4.7,4.8,3.7,4.9,,4.1,,,340,3787.0
2015 Jaguar XFR-S,SUPER SALOONS,110000.0,Autoshow,A,728.0,RWD,7.5,5.7,5.0,5.2,4.2,4.6,204.6,3.9,9.1,0.94,550,4380.0
2015 Jaguar XKR-S,TRACK TOYS,250000.0,Season Event,A,778.0,RWD,7.2,6.0,5.2,5.4,6.4,4.5,,4.1,,,542,3977.0
2016 Jaguar F-TYPE Project 7,TRACK TOYS,190000.0,Wheelspin,A,786.0,RWD,7.0,6.3,5.1,5.4,6.5,4.3,,4.1,,,567,3571.0
2017 Jaguar F-PACE S,SPORTS UTILITY HEROES,55000.0,Autoshow,B,674.0,AWD,6.0,5.0,5.4,4.8,3.8,6.5,164.1,5.1,13.1,0.92,380,4015.0
2018 Jaguar I-PACE,SPORTS UTILITY HEROES,87000.0,Autoshow,A,705.0,AWD,4.5,4.9,4.5,4.7,3.7,5.8,,4.1,,,394,4868.0
1976 Jeep CJ5 Renegade,PICK-UP & 4X4'S,60000.0,Autoshow,D,431.0,AWD,3.7,3.0,4.3,5.3,2.6,7.6,104.3,7.3,23.0,0.79,151,2271.0
2012 Jeep Wrangler Rubicon,PICK-UP & 4X4'S,50000.0,Autoshow,D,463.0,AWD,4.6,3.1,4.0,3.2,2.4,8.0,127.1,6.7,20.6,0.78,285,4132.0
2014 Jeep Grand Cherokee SRT,SPORTS UTILITY HEROES,80000.0,Autoshow,B,680.0,AWD,6.0,4.1,6.0,5.8,4.0,6.7,,4.1,,,470,5150.0
2016 Jeep Trailcat,UNLIMITED OFFROAD,75000.0,Autoshow,A,744.0,AWD,6.2,3.9,5.5,4.1,4.0,10.0,,4.1,,,707,4600.0
2018 Jeep Grand Cherokee Trackhawk,SPORTS UTILITY HEROES,73000.0,Autoshow,A,749.0,AWD,6.9,5.1,8.5,7.8,4.9,5.6,,4.1,,,707,5350.0
2020 Jeep Gladiator Rubicon,PICK-UP & 4X4'S,45000.0,Autoshow,D,456.0,AWD,4.8,3.0,3.6,3.2,2.5,8.4,,4.1,,,285,5073.0
2002 Koenigsegg CC8S,HYPERCARS,400000.0,Autoshow,S1,846.0,RWD,8.7,7.6,6.1,3.8,6.4,4.7,239.1,3.5,7.1,1.09,564,2811.0
2008 Koenigsegg CCGT,EXTREME TRACK TOYS,1000000.0,Wheelspin,S2,965.0,RWD,7.8,10.0,6.8,7.1,10.0,3.9,213.9,3.3,5.9,1.77,610,2425.0
2015 Koenigsegg One:1,HYPERCARS,2800000.0,Autoshow,S2,983.0,RWD,10.0,9.5,7.0,7.5,10.0,4.3,,4.1,,,"1,341",2998.0
2016 Koenigsegg Regera,HYPERCARS,1900000.0,Autoshow,S2,966.0,RWD,9.1,7.9,5.8,6.2,9.2,4.2,247.4,2.8,5.1,1.3,"1,500",3589.0
2017 Koenigsegg Agera RS,HYPERCARS,2000000.0,Autoshow,S2,980.0,RWD,10.0,9.7,7.0,7.6,9.7,4.3,275.4,2.8,4.7,1.33,"1,341",3075.0
2020 Koenigsegg Jesko,HYPERCARS,2800000.0,Autoshow,S2,971.0,RWD,10.0,10.0,6.9,7.4,9.0,4.4,,4.1,,,"1,280",3131.0
2013 KTM X-Bow R,TRACK TOYS,105000.0,Autoshow,S1,802.0,RWD,5.2,8.0,6.8,7.4,7.8,3.9,,4.1,,,295,1786.0
1967 Lamborghini Miura P400,RARE CLASSICS,1000000.0,Autoshow,B,625.0,RWD,5.9,4.9,3.8,2.7,3.1,5.1,,4.1,,,350,2745.0
1973 Lamborghini Espada 400 GT,RETRO SUPERCARS,110000.0,Autoshow,C,597.0,RWD,5.8,4.7,4.1,3.1,3.0,5.1,159.4,6.5,15.1,0.85,350,3605.0
1986 Lamborghini LM 002,PICK-UP & 4X4'S,180000.0,Autoshow,C,562.0,AWD,5.3,3.3,2.9,1.8,3.2,8.7,142.1,6.7,20.6,0.83,450,5952.0
1988 Lamborghini Countach LP5000 QV,RETRO SUPERCARS,220000.0,Autoshow,A,735.0,RWD,6.8,6.2,4.7,3.6,4.3,4.8,186.2,4.9,11.9,1.1,455,3284.0
1997 Lamborghini Diablo SV,RETRO SUPERCARS,174000.0,Autoshow,A,763.0,RWD,7.7,6.2,5.2,4.2,4.9,4.6,,4.1,,,530,3474.0
1999 Lamborghini Diablo GTR,EXTREME TRACK TOYS,1000000.0,Mastery Tree,S1,881.0,RWD,7.8,9.0,6.8,5.9,7.8,4.1,,4.1,,,590,3086.0
2008 Lamborghini Reventón,MODERN SUPERCARS,1375000.0,Car Collection,S1,817.0,AWD,7.8,7.0,5.2,4.4,7.1,5.1,218.9,3.4,7.8,1.1,641,4015.0
2010 Lamborghini Murciélago LP 670-4 SV,MODERN SUPERCARS,500000.0,Autoshow,S1,818.0,AWD,7.8,7.2,5.2,4.5,6.9,5.0,,4.1,,,661,3794.0
2011 Lamborghini Gallardo LP 570-4 Superleggera,MODERN SUPERCARS,280000.0,Accolade,S1,814.0,AWD,7.5,7.1,7.4,6.9,5.3,5.0,,4.1,,,562,3298.0
2011 Lamborghini Sesto Elemento,EXTREME TRACK TOYS,2500000.0,Autoshow,S2,936.0,AWD,7.8,10.0,10.0,10.0,10.0,4.6,214.7,2.5,5.2,1.69,571,2202.0
2011 Lamborghini Sesto Elemento Forza Edition,EXTREME TRACK TOYS,2750000.0,Wheelspin,S2,998.0,AWD,8.4,10.0,10.0,10.0,10.0,5.1,,4.1,,,638,2039.0
2012 Lamborghini Aventador J,HYPERCARS,2700000.0,Season Event,S1,839.0,AWD,7.9,7.1,7.7,7.0,7.1,5.1,216.1,2.8,6.1,1.14,700,3816.0
2012 Lamborghini Aventador LP700-4,HYPERCARS,380000.0,Autoshow,S1,847.0,AWD,8.9,7.1,8.2,7.4,7.3,5.0,245.9,2.8,6.5,1.13,700,3816.0
2012 Lamborghini Gallardo LP 570-4 Spyder Performante,MODERN SUPERCARS,280000.0,Season Event,A,797.0,AWD,7.1,6.8,6.7,6.3,6.6,5.1,195.9,3.9,7.8,1.0,562,3618.0
2013 Lamborghini Veneno,HYPERCARS,3000000.0,Autoshow,S2,910.0,AWD,8.2,9.4,8.8,8.1,9.7,4.6,224.1,2.7,5.8,1.66,740,3629.0
2014 Lamborghini Huracán LP 610-4,MODERN SUPERCARS,240000.0,Autoshow,S1,838.0,AWD,7.8,7.1,7.8,7.4,7.1,5.0,,4.1,,,602,3422.0
2016 Lamborghini Aventador Superveloce,HYPERCARS,480000.0,Autoshow,S1,872.0,AWD,8.5,7.9,8.7,8.0,8.1,5.0,237.2,2.7,5.9,1.26,740,3706.0
